sale_id,channel_order,discounted_order,total_amount,sale_date_order,customer_id,country,item_id,product_id,quantity,original_price,unit_price,discount_applied,discount_percent,discounted_item,item_total,sale_date_item,channel_item,channel_campaigns,product_name,category,brand,color,size,catalog_price,cost_price,gender
10,E-commerce,0,299.7,2025-05-21,195,France,2423,347,1,59.92,59.92,0.0,0.00%,0,59.92,2025-05-21,E-commerce,Website Banner,Tailored Sleeveless Tee,T-Shirts,Tiva,Blue,XS,59.92,35.38,Female
10,E-commerce,0,299.7,2025-05-21,195,France,1837,218,2,48.73,48.73,0.0,0.00%,0,97.46,2025-05-21,E-commerce,Website Banner,Polished Satin Tee,T-Shirts,Tiva,Red,S,48.73,30.4,Female
10,E-commerce,0,299.7,2025-05-21,195,France,2582,254,3,47.44,47.44,0.0,0.00%,0,142.32,2025-05-21,E-commerce,Website Banner,Relaxed Silk Shoes,Shoes,Tiva,Black,35,47.44,23.49,Female
100,App Mobile,0,681.05,2025-04-21,518,Germany,1126,445,5,52.28,52.28,0.0,0.00%,0,261.4,2025-04-21,App Mobile,App Mobile,Bold Cotton Set,Sleepwear,Tiva,White,S,52.28,33.66,Female
100,App Mobile,0,681.05,2025-04-21,518,Germany,366,419,5,50.34,50.34,0.0,0.00%,0,251.7,2025-04-21,App Mobile,App Mobile,Elegant Crew Dress,Dresses,Tiva,Blue,L,50.34,30.29,Female
100,App Mobile,0,681.05,2025-04-21,518,Germany,37,139,5,33.59,33.59,0.0,0.00%,0,167.95,2025-04-21,App Mobile,App Mobile,Classic High-Waist Tee,T-Shirts,Tiva,Green,L,33.59,17.1,Female
1000,E-commerce,0,324.5,2025-05-20,439,Germany,450,161,2,45.75,45.75,0.0,0.00%,0,91.5,2025-05-20,E-commerce,Website Banner,Vintage Linen Tee,T-Shirts,Tiva,White,S,45.75,23.35,Female
1000,E-commerce,0,324.5,2025-05-20,439,Germany,1383,145,4,58.25,58.25,0.0,0.00%,0,233.0,2025-05-20,E-commerce,Website Banner,Classic Boxy Shoes,Shoes,Tiva,Black,40,58.25,28.28,Female
1001,E-commerce,0,287.85,2025-04-05,349,Germany,1802,194,3,64.11,64.11,0.0,0.00%,0,192.33,2025-05-04,E-commerce,Website Banner,Vintage Sleeveless Set,Sleepwear,Tiva,White,M,64.11,37.82,Female
1001,E-commerce,0,287.85,2025-04-05,349,Germany,529,84,3,31.84,31.84,0.0,0.00%,0,95.52,2025-05-04,E-commerce,Website Banner,Modern Cotton Shoes,Shoes,Tiva,Blue,38,31.84,13.34,Female
1003,App Mobile,0,430.64,2025-06-06,727,Portugal,1820,496,4,54.61,54.61,0.0,0.00%,0,218.44,2025-06-06,App Mobile,App Mobile,Tailored High-Waist Trousers,Pants,Tiva,Black,S,54.61,27.63,Female
